==================================================
POSTING MIN: 4 Bytes
POSTING MAX: 20188 Bytes
POSTING AVG: 890 Bytes
CANT. FILES: 527
SIZE FILES:  469036 Bytes
OVERHEAD:    785708 Bytes
==================================================
ID DOC|OVERHEAD
419   |0.1815
420   |0.2646
421   |0.2343
422   |0.2119
423   |0.2483
424   |0.1175
425   |0.2410
426   |0.2791
427   |0.2032
428   |0.1731
429   |0.2127
430   |0.1171
431   |0.1157
432   |0.2665
433   |0.1907
434   |0.2163
435   |0.1541
436   |0.1897
437   |0.2405
438   |0.0464
439   |0.2198
440   |0.3432
441   |0.0545
442   |0.1679
443   |0.2694
444   |0.1536
445   |0.0755
446   |0.1370
447   |0.1950
448   |0.1913
449   |0.3135
450   |0.3251
451   |0.1980
452   |0.0335
453   |0.1352
454   |0.1896
455   |0.2498
456   |0.1087
457   |0.0378
458   |0.2606
459   |0.2504
460   |0.1392
461   |0.1929
462   |0.0682
463   |0.2140
464   |0.2412
465   |0.3357
466   |0.1836
467   |0.2827
468   |0.1934
469   |0.3090
470   |0.3076
471   |0.2880
472   |0.2726
473   |0.2402
474   |0.2765
475   |0.0767
476   |0.2043
477   |0.2027
478   |0.2220
479   |0.2123
480   |0.2400
481   |0.3218
482   |0.2238
483   |0.1369
484   |0.4751
485   |0.1213
486   |0.0832
487   |0.0972
488   |0.1529
489   |0.1617
490   |0.2312
491   |0.2146
492   |0.2322
493   |0.1496
494   |0.1287
495   |0.1325
496   |0.2037
497   |0.0247
498   |0.3083
499   |0.2508
500   |0.1861
501   |0.0506
502   |0.1217
503   |0.1827
504   |0.1711
505   |0.1274
506   |0.1835
507   |0.1706
508   |0.0479
509   |0.1069
510   |0.1797
511   |0.1970
512   |0.0894
513   |0.0651
514   |0.1798
515   |0.1390
516   |0.1570
517   |0.1569
518   |0.0684
519   |0.1395
520   |0.2526
521   |0.0900
522   |0.0660
523   |0.1675
524   |0.2056
525   |0.3444
526   |0.1621
527   |0.1441
