==================================================
POSTING MIN: 28 Bytes
POSTING MAX: 20188 Bytes
POSTING AVG: 854 Bytes
CANT. FILES: 176
SIZE FILES:  150364 Bytes
OVERHEAD:    285974 Bytes
==================================================
ID DOC|OVERHEAD
--------------------------------------------------
1     |0.4309
2     |0.4839
3     |0.5450
4     |0.4700
5     |0.4045
6     |0.3978
7     |0.3672
8     |0.3985
9     |0.4410
10    |0.3798
11    |0.4383
12    |0.2962
13    |0.3845
14    |0.3145
15    |0.4366
16    |0.3768
17    |0.3252
18    |0.2250
19    |0.3134
20    |0.2173
21    |0.3725
22    |0.3090
23    |0.3966
24    |0.3710
25    |0.3105
26    |0.3620
27    |0.3662
28    |0.2878
29    |0.1966
30    |0.2425
31    |0.2240
32    |0.3246
33    |0.2873
34    |0.3158
35    |0.4557
36    |0.5839
37    |0.3821
38    |0.2635
39    |0.3338
40    |0.1877
41    |0.3400
42    |0.3298
43    |0.3144
44    |0.3564
45    |0.2864
46    |0.3385
47    |0.4476
48    |0.2969
49    |0.1474
50    |0.1507
51    |0.1188
52    |0.2638
53    |0.3142
54    |0.3826
55    |0.4219
56    |0.2347
57    |0.3515
58    |0.5098
59    |0.4842
60    |0.2554
61    |0.2429
62    |0.1347
63    |0.3409
64    |0.3742
65    |0.2549
66    |0.1794
67    |0.3036
68    |0.2511
69    |0.2405
70    |0.2275
71    |0.2407
72    |0.2973
73    |0.3131
74    |0.2759
75    |0.2819
76    |0.2885
77    |0.1337
78    |0.2532
79    |0.2033
80    |0.2256
81    |0.2238
82    |0.3275
83    |0.2962
84    |0.1502
85    |0.3159
86    |0.1369
87    |0.1375
88    |0.2776
89    |0.2260
90    |0.2831
91    |0.2309
92    |0.2614
93    |0.1325
94    |0.2510
95    |0.1938
96    |0.1356
97    |0.2672
98    |0.2325
99    |0.2479
100   |0.2340
101   |0.0628
102   |0.4800
103   |0.2048
104   |0.1315
105   |0.1298
106   |0.2025
107   |0.3117
108   |0.2172
109   |0.2429
110   |0.2053
111   |0.2085
112   |0.1983
113   |0.2064
114   |0.1251
115   |0.1135
116   |0.2627
117   |0.1481
118   |0.3351
119   |0.1156
120   |0.3348
121   |0.2992
122   |0.2535
123   |0.2328
124   |0.1382
125   |0.2535
126   |0.2535
127   |0.2535
128   |0.2535
129   |0.2317
130   |0.2485
131   |0.2532
132   |0.2313
133   |0.2459
134   |0.4790
135   |0.3263
136   |0.1238
137   |0.4719
138   |0.2722
139   |0.2780
140   |0.0948
141   |0.2115
142   |0.3180
143   |0.2542
144   |0.2333
145   |0.2651
146   |0.1581
147   |0.1225
148   |0.3389
149   |0.0592
150   |0.2375
151   |0.4043
152   |0.2798
153   |0.1566
154   |0.1045
155   |0.3084
156   |0.4673
157   |0.3351
158   |0.3960
159   |0.3469
160   |0.2324
161   |0.2370
162   |0.1733
163   |0.2497
164   |0.1884
165   |0.1430
166   |0.2437
167   |0.1804
168   |0.0915
169   |0.1459
170   |0.1004
171   |0.3254
172   |0.1522
173   |0.2533
174   |0.1662
175   |0.5207
176   |0.1629
