==================================================
POSTING MIN: 28 Bytes
POSTING MAX: 5488 Bytes
POSTING AVG: 690 Bytes
CANT. FILES: 54
SIZE FILES:  37296 Bytes
OVERHEAD:    80637 Bytes
==================================================
ID DOC|OVERHEAD
--------------------------------------------------
1     |0.5214
2     |0.5540
3     |0.4369
4     |0.5014
5     |0.3299
6     |0.4114
7     |0.3302
8     |0.4866
9     |0.3839
10    |0.3430
11    |0.2250
12    |0.3387
13    |0.2251
14    |0.3853
15    |0.3090
16    |0.4025
17    |0.3790
18    |0.3166
19    |0.3776
20    |0.3662
21    |0.3178
22    |0.2001
23    |0.2464
24    |0.2240
25    |0.3347
26    |0.2873
27    |0.3199
28    |0.4557
29    |0.5839
30    |0.3978
31    |0.2760
32    |0.3373
33    |0.1877
34    |0.3400
35    |0.3298
36    |0.3158
37    |0.3609
38    |0.2883
39    |0.3385
40    |0.4476
41    |0.2988
42    |0.1486
43    |0.1523
44    |0.1188
45    |0.2638
46    |0.3142
47    |0.3826
48    |0.4284
49    |0.2399
50    |0.3515
51    |0.5129
52    |0.4842
53    |0.2554
54    |0.2451
